,date,github
1,2021-10-26,3,
2,2021-10-27,13,
3,2021-10-28,18,
4,2021-10-29,5,
5,2021-10-30,1,
6,2021-10-31,3,
7,2021-11-01,1,
8,2021-11-02,3,
9,2021-11-03,3,
10,2021-11-04,3,
11,2021-11-05,6,
12,2021-11-06,1,
13,2021-11-07,8,
14,2021-11-08,12,
15,2021-11-09,16,
16,2021-11-10,6,
17,2021-11-11,3,
18,2021-11-12,3,
19,2021-11-13,8,
20,2021-11-14,17,
21,2021-11-15,6,
22,2021-11-16,4,
23,2021-11-17,2,
24,2021-11-18,3,
25,2021-11-19,9,
26,2021-11-20,2,
27,2021-11-21,10,
28,2021-11-22,1,
29,2021-11-23,1,
30,2021-11-24,1,
31,2021-11-25,1,
32,2021-11-26,1,
33,2021-11-28,1,
34,2021-11-30,1,
35,2021-12-01,2,
36,2021-12-14,2,
37,2021-12-15,4,
38,2021-12-20,4,
39,2021-12-23,1,
40,2021-12-26,2,
41,2021-12-27,3,
42,2021-12-29,5,
43,2021-12-30,5,
44,2021-12-31,11,
45,2022-01-01,1,
46,2022-01-02,6,
47,2022-01-03,5,
48,2022-01-08,1,
49,2022-01-09,8,
50,2022-01-10,5,
51,2022-01-12,8,
52,2022-01-13,2,
53,2022-01-14,6,
54,2022-01-15,12,
55,2022-01-16,3,
56,2022-01-17,13,
57,2022-01-18,6,
58,2022-01-19,3,
59,2022-01-21,6,
60,2022-01-22,26,
61,2022-01-23,14,
62,2022-01-24,4,
63,2022-01-25,11,
64,2022-01-31,2,
65,2022-02-01,11,
66,2022-02-02,7,
67,2022-02-03,8,
68,2022-02-05,12,
69,2022-02-06,13,
70,2022-02-07,1,
71,2022-02-08,4,
72,2022-02-09,2,
73,2022-02-10,3,
74,2022-02-11,16,
75,2022-02-12,3,
76,2022-02-13,2,
77,2022-02-14,2,
78,2022-08-24,13,
79,2022-08-25,20,
80,2022-08-27,1,
81,2022-08-28,6,
82,2022-08-29,2,
83,2022-08-30,1,
84,2022-08-31,1,
85,2022-09-01,1,
86,2022-09-02,1,
87,2022-09-03,1,
88,2022-09-05,7,
89,2022-09-06,5,
90,2022-09-07,3,
91,2022-09-08,2,
92,2022-09-09,1,
93,2022-09-12,3,
94,2022-09-13,3,
95,2022-09-14,6,
96,2022-09-15,11,
97,2022-09-16,17,
98,2022-09-19,13,
99,2022-09-20,4,
100,2022-09-21,1,
101,2022-09-22,3,
102,2022-09-23,6,
103,2022-09-27,1,
104,2022-10-03,3,
105,2022-10-04,7,
106,2022-10-05,1,
107,2022-10-06,1,
108,2022-10-07,1,
109,2022-10-10,1,
110,2022-10-11,1,
111,2022-10-12,1,
112,2022-10-13,1,
113,2022-10-18,1,
114,2022-10-19,3,
115,2022-10-20,2,
116,2022-10-21,4,
117,2022-10-24,2,
118,2022-10-26,3,
119,2022-10-28,11,
