,date,github
1,2021-12-14,2,
2,2021-12-15,4,
3,2021-12-20,4,
4,2021-12-23,1,
5,2021-12-26,2,
6,2021-12-27,3,
7,2021-12-29,5,
8,2021-12-30,5,
9,2021-12-31,11,
10,2022-01-01,1,
11,2022-01-02,6,
12,2022-01-03,5,
13,2022-01-08,1,
14,2022-01-09,8,
15,2022-01-10,5,
16,2022-01-12,8,
17,2022-01-13,2,
18,2022-01-14,6,
19,2022-01-15,12,
20,2022-01-16,3,
21,2022-01-17,13,
22,2022-01-18,6,
23,2022-01-19,3,
24,2022-01-21,6,
25,2022-01-22,26,
26,2022-01-23,14,
27,2022-01-24,4,
28,2022-01-25,11,
29,2022-01-31,2,
30,2022-02-01,11,
31,2022-02-02,7,
32,2022-02-03,8,
33,2022-02-05,12,
34,2022-02-06,13,
35,2022-02-07,1,
36,2022-02-08,4,
37,2022-02-09,2,
38,2022-02-10,3,
39,2022-02-11,16,
40,2022-02-12,3,
41,2022-02-13,2,
42,2022-02-14,2,
43,2022-08-24,13,
44,2022-08-25,20,
45,2022-08-27,1,
46,2022-08-28,6,
47,2022-08-29,2,
48,2022-08-30,1,
49,2022-08-31,1,
50,2022-09-01,1,
51,2022-09-02,1,
52,2022-09-03,1,
53,2022-09-05,7,
54,2022-09-06,5,
55,2022-09-07,3,
56,2022-09-08,2,
57,2022-09-09,1,
58,2022-09-12,3,
59,2022-09-13,3,
60,2022-09-14,6,
61,2022-09-15,11,
62,2022-09-16,17,
63,2022-09-19,13,
64,2022-09-20,4,
65,2022-09-21,1,
66,2022-09-22,3,
67,2022-09-23,6,
68,2022-09-27,1,
69,2022-10-03,3,
70,2022-10-04,7,
71,2022-10-05,1,
72,2022-10-06,1,
73,2022-10-07,1,
74,2022-10-10,1,
75,2022-10-11,1,
76,2022-10-12,1,
77,2022-10-13,1,
78,2022-10-18,1,
79,2022-10-19,3,
80,2022-10-20,2,
81,2022-10-21,4,
82,2022-10-24,2,
83,2022-10-26,3,
84,2022-10-28,12,
85,2022-11-08,11,
86,2022-11-09,1,
87,2022-11-10,2,
88,2022-11-11,1,
89,2022-11-14,2,
90,2022-11-15,1,
91,2022-11-22,1,
92,2022-12-01,3,
93,2022-12-06,1,
